tweets,labels
mi fiili wo paaa  wodi kan w? ahenfie a na wonnii bim,Positive
wodi kan w? ahenfie a na wonnii bim,Positive
ampa o �  hahahawode kokromoti ko ayie a yede sotr? gya wo kwan�,Positive
patapaa pieto y?de mmra na ?wor?,Positive
hahahawode kokromoti ko ayie a yede sotrc gya wo kwan,Positive
wadaroma by dn na me ndi wakyi,Positive
yoooo ma te,Positive
medi wakyi wai,Positive
medi wakyi di makyi bi waiyoooo mati,Positive
yoo mate   balonty medi wakyi di makyi bi wai,Positive
daabi   mepawokyw fone y  twi anaa   twi fone paa daabi o cont,Positive
mepawokyw fone y  twi anaa   twi fone paa daabi o �  nana cont,Positive
twi fone paa daabi o �  nana mepawokyw ooh anybiaa wode twi fon na tweeti anaa�,Positive
?b?twani biara se s? ab? b?wu no de? anka kookoo nwu,Positive
nana mepawokyw ooh anybiaa wode twi fon na tweeti anaa,Positive
?sono akyi nni aboa,Positive
ah nana ensuro ekyire koraa medi so,Positive
?patuo su anadwo a ?y? mmusuo,Positive
ok   br?fo mu w?fr? no owl � paakyw patuo y dn   ?patuo su anadwo a ?y? mmusuo�,Positive
ei wo di me kyi paa   qojoabrafi medi wakyi di mkyi bi wai,Positive
br?fo mu w?fr? no owl � paakyw patuo y dn   ?patuo su anadwo a ?y? mmusuo�,Positive
paakyw patuo y dn   ?patuo su anadwo a ?y? mmusuo,Positive
yoo mate    yoo mahunu,Positive
me paakyw medi wakyi wai,Positive
saa na ti  ?ny? ak?nf?m af? ne krokrokoko,Positive
daabi o hw? no yie na wonni makyi  � medi wakyi p    medi wakyi di makyi bi wai�,Positive
medi wakyi p    medi wakyi di makyi bi wai,Positive
hahahahahawadaworoma,Positive
me nso madi wakyi bi,Positive
m dwa agu wo so �  medi wakyi di makyi bi wai�,Positive
yooooo mdi wakyi waii,Positive
me pa wo kyw madi wo akyi,Positive
hmmnn  ?b? ?? ??e ???me ?? h?   wonhunu saa  oh ??? cont,Positive
twi atimtimde? wohia nyinaa ni twa ne? ?hia na fa tim wo atwer? mu ???? �  sn na wo tweeti wo twi me pes me ye bi�,Positive
wonhunu saa  oh ??? ?s?m ?? ???r? ? ???e?? ???   merek? ak? p? biribi ab?di ?ne meb?y?? ?de?n na ?nam�,Positive
merek? ak? p? biribi ab?di ?ne meb?y?? ?de?n na ?nam,Positive
y?hunuu y? a anka nanso na aka akyire,Positive
twenee anim w? h? a y?mm? ne nky?n mu,Positive
onyame na aseda s? no �  medaase s? wo adi makyi nti meresan nsoso di wakyi�,Positive
medaase s? wo adi makyi nti meresan nsoso di wakyi,Positive
medi wakyi menua,Positive
y?se s? ?hwene nya a na anii nso anya,Positive
medi wakyi di makyi bi wai � huhh,Positive
d   hmm ?y? as?m o   na obiaa wo di makyi de me nso me y dn di wakyi cont,Positive
na obiaa wo di makyi de me nso me y dn di wakyi    medi wakyi di makyi bi wai,Positive
mate,Positive
ampa oomeda awurade ase,Positive
onyame na aseda s? no �  medaase�,Positive
wob? wo ho mm?den paa ?ny? kakra �  meb me ho mden kakra�,Positive
meb me ho mden kakra,Positive
mmo wo ay? ade? �  madi wakyi oo�,Positive
madi wakyi oo,Positive
meso medi wakyi    medi wakyi di makyi bi wai,Positive
panin a ?hw? ma nkwadaa we nanka no y?rebua nankawefo? a ?ka ho bi,Positive
bankye w? h? yi nanim gu ase a na nkruma af?re,Positive
?tire w? h? a y?nsh? kotodwe ky?,Positive
?d? fofor? de? ?y? f? na na awie?,Positive
yoo meretwn wo,Positive
memm? me din b?dwam m?ka agu wo asom dm �  ei ei twi na woreka no sei way ade  yfr me jo,Positive
memm? me din b?dwam m?ka agu wo asom dm �  ei ei twi na woreka no sei way ade  yfr me jo  wo din de sn�,Positive
medi wakyi s lorry   xgooglemex medi wakyi di makyi bi wai,Positive
ei ei twi na woreka no sei way ade  yfr me jo  wo din de sn,Positive
�panin a ?hw? ma nkwadaa we nanka no y?rebua nankawefo? a ?ka ho bi,Positive
yoo medaase na asekyer? no eh,Positive
?ny? de? ?b?fuo? ak? hunu nyinaa na ?b?ka,Positive
woyi ny? ?b? ?y? as?mka �  saa ?b? no ase? kyer? s?n�,Positive
?hemaa saa ara na ?te? �  heeheee na wu ka no bk saa nu odo saa na atu adapaa twa hiihiiiii�,Positive
heeheee na wu ka no bk saa nu odo saa na atu adapaa twa hiihiiiii,Positive
saa ?b? no ase? kyer? s?n,Positive
asem   ?d? fofor? de? ?y? f? na na awie?,Positive
hmmmm agyabi wua agyabi tease yka de daa daa awesia    ?k?m de agyanka a y?se ?yare,Positive
kwaku ananse ba ntinkuma na ?kaa ne as?m s? obi y? ne ho kwasia a na ?de rep? nyiniky?,Positive
me np? mu y?    me w?fase s? biribiara b?k?? de?awurade adom ntibiribiara bklol na wo ho te sen,Positive
me w?fase s? biribiara b?k?? de?awurade adom ntibiribiara bklol na wo ho te sen,Positive
medi wakyi  ntemtem    obohye medi wakyi di makyi bi wai,Positive
menso midi woakyi   kofiloon medi wakyi di makyi bi wai,Positive
madi wakyi wai   daabi wonnii makyi to sbieii madi paa hahaha,Positive
medi wakyi di makyi bi waimasa me pawa kyew menso madi wakyi wae,Positive
medi wakyi di makyi bi wai  ya to sbi kakra hahaah metaa wakyi,Positive
wanim tis koobi   trumudiifo   bra panyin medi wakyi wai    medi wakyi di makyi,Positive & Negative
trumudiifo   bra panyin medi wakyi wai    medi wakyi di makyi bi wai,Positive
bra panyin medi wakyi wai    medi wakyi di makyi bi wai,Positive
yoo madi wakyi wai   suehadassah medi wakyi di makyi bi wai,Positive
mmo wo ay? ade? �  sese yira�,Positive
ade? a sika y? no de? ohiani ntumi ny? bi da,Positive
mati �  medi wakyi di makyi bi wai�,Positive
hahaha u fool kk �   ohia as?m nti ak?n? b?kum ahiafo? kwa cc,Positive
�  mmrikisi yantumi ann? na y?fr? no nsamanp?�,Positive
mmrikisi yantumi ann na yfrno nsamanp,Positive
?y? ampa o � s? wotwa wo t?kyer?ma we a na wo nwee hwee cc,Positive
s? wotwa wo t?kyer?ma we a na wo nwee hwee cc,Positive
hmmm ?y? asem oo lol   ohia as?m nti ak?n? b?kum ahiafo? kwa,Positive
nti na mpaninfo? daa no s? ?y? a suro nipa � haha nipa ho y hu  y?rekamfo wo duaforo no na,Positive
nti na mpaninfo? daa no s? ?y? a suro nipa � haha nipa ho y hu  y?rekamfo wo duaforo no na y?rep? wo akyakya,Positive
haha nipa ho y hu  y?rekamfo wo duaforo no na y?rep? wo akyakya,Positive
hei s? p?nk? woteso mm?? dam de�  s? ?p?nk? ab? dam a ?nkyer? ne wura no nso ab? dam bi��hehehehe�,Positive
s? ?p?nk? ab? dam a ?nkyer? ne wura no nso ab? dam bi��hehehehe,Positive
ne? ?k?m regye ara ne mmei?,Positive
s? ?p?nk? ab? dam a ?nkyer? ne wura no nso ab? dam bi,Positive
lolmte   medi wakyi di makyi bi wai,Positive
ampa �  medii wakyi aky koraas wahunu�,Positive
medii wakyi aky koraas wahunu,Positive
?damankoma adaworoma nti abrab? mu ns?m y? ara � abrab mu te sn w amanone h,Positive
awurade adom ntime so mete nkwa mume ho y paaalol,Positive
abrab mu te sn w amanone h,Positive
mete nkwa mu yi de? onyame b?y? ama me biara y? na wo ? �   ete senden na koso�,Positive
mmo   s worep asante abaksm atie a ne di  akyi w twer w asante cont,Positive
ete senden na koso,Positive
yre kyeky abete no na ne ky ara nono,Positive
kt rewia ne ba nso rewiana hwan na b gye no taataa,Positive
akwadaa b nwa na mm akyekyede,Positive
metare wo akyi � meredi  akyi seisei w twitter ha firis y manigye s mey akan nii menua,Positive
s worep asante abaksm atie a ne di  akyi w twer w asante twi mu nti me nana koraa btumi adi nakyi menua way ade,Positive
metare wo akyi � meredi  akyi seisei w twitter ha firis y manigye s mey akan nii menua di makyi bi wate�,Positive
s? ne? woara wonim no � ampa  papa ny? hwee a b?ne nso ny? hwee�,Positive
meredi  akyi seisei w twitter ha firis y manigye s mey akan nii menua di makyi bi wate,Positive
ampa  papa ny? hwee a b?ne nso ny? hwee,Positive
s? agyinamoa nni fie a na nkura redi ahurisie,Positive
mepaakyew mewie,Positive
me nso saaaaa,Positive
ma te aa    medi wakyi di makyi bi wai,Positive
kk   brakwame medi wakyi di makyi bi wai,Positive
yooo   medi wakyi di makyi bi wai,Positive
s? aboa agyegyen nam nsuo ani a amanfo? ke ka s? ?p? s? ?gyene nsuo no y?ka a y? boa ?p? s? ?hono nsuo no na ?nom n,Positive
wopam ap?nkye na wo anto no a wose ne ho b?n,Positive
cc    oheneba ni deaa ni papa tieaa se,Positive
enoaa no no  wonhunu saa � ampa paa ooo  wokyer? kwasia dua we? a ?rek? da koraa na ?tua nano�,Positive
twi no mu api paaa  de?n nti �   wobma anwonafo ni nkranfo bu afu ooo�,Positive
de?n nti �   wobma anwonafo ni nkranfo bu afu ooo�,Positive
wokyer? kwasia dua we? a ?rek? da koraa na ?tua nano,Positive
wobma anwonafo ni nkranfo bu afu ooo,Positive
wonhunu saa � ampa paa ooo  wokyer? kwasia dua we? a ?rek? da koraa na ?tua nano�,Positive
ampa paa ooo  wokyer? kwasia dua we? a ?rek? da koraa na ?tua nano,Positive
abuburo kosua ade? a ?b? y? yie no ?nsei da,Positive
ade? a ?b? y? yie no ?nsei da,Positive
lol yoo ma te wae   ianpriceless medi wakyi di makyi bi wai,Positive
ohhh saaa merehwe na ma san aye,Positive
yoo me nua me nso me di wakyime gye di se wapon ye,Positive
m?y? yie ama atanfo af?re,Positive
ade? rekye a ade? resa yi na mmere a na ?rek? no,Positive
yooo medi wakyi,Positive
lol wo firii hen    medi wakyi di makyi bi wai,Positive
�ade? rekye a ade? resa yi na mmere a na ?rek? no,Positive
ayt    medi wakyi di makyi bi wai,Positive
yo ma te,Positive
� s? wofa nwansena ho abofuo a wobre wo kro�,Positive
abusua mefoa wo so � fromfrom nte h daa d  adepa biara nni h? a wob?nya,Positive
abusua mefoa wo so � fromfrom nte h daa d  adepa biara nni h? a wob?nya no fofoofo�,Positive
fromfrom nte h daa d  adepa biara nni h? a wob?nya no fofoofo,Positive
ampa m?ka bio � � onipa br?br?br? a na ?domankoma wuo de napakan ab?fa no k? kwa� ooo ka biem mi nua�,Positive
onipa br?br?br? a na ?domankoma wuo de napakan ab?fa no k? kwa,Positive
lol mati wai  �  medi wakyi di makyi bi wai�,Positive
onua medi wakyi dada �  masa di makyi bi wati�,Positive
saa wahunu  � u gud wit the twi paaaa    ne? ?repam wo? mmer? a ?b?y? d?n na wo agye wo shone�,Positive
u gud wit the twi paaaa    ne? ?repam wo? mmer? a ?b?y? d?n na wo agye wo ahome,Positive
yoo me nso medi woakyi sesei,Positive
huh   medi wakyi di makyi bi wai,Positive
me di wakyi   medi wakyi di makyi bi wai,Positive
medaase   wo nk?so? gyina wo ara wo mm?denmm? so,Positive
�ne? ?di wo akyi so ky?n wo a ?b?y? den na ?rensumsum wo?,Positive
wo nk?so? gyina wo ara wo mm?denmm? so,Positive
�wo nk?so? gyina wo ara wo mm?denmm? so,Positive
oh menua hmmm   owuo sei fie,Positive
saa na ?te? � mpanyinsm aa kwakwa  ne? ?te ne gya ho no na ?nim s? ne? ?si ?sheshe no fa�,Positive
mpanyinsm aa kwakwa  ne? ?te ne gya ho no na ?nim s? ne? ?si ?sheshe no fa,Positive
?kraman se ?mp? apimpim apimpim nti na ne kotodwe b? na akyiri,Positive
ei wo di makyi yoo me di wo di bi wai  shesmaabenaa medi wakyi di makyi bi wai,Positive
seesei mew? london ?nti mete br?fo ara �   medi wakyi di makyi bi wai yoo ma ti nti wo ti brofo anaa�,Positive
onyame na ?ka ?ba mu ?na ?hy?  a ?gyina,Positive
wo adwene y? wo s?n �   ?tua obi ho  a ?tua dua mugtgtna etua obi ho aa�gtgt,Positive
wo adwene y? wo s?n �   ?tua obi ho  a ?tua dua mugtgtna etua obi ho aa�,Positive
?tua obi ho  a ?tua dua mugtgtna etua obi ho aa,Positive
as wonimby yi paaaaa,Positive
ky? na ?b?ky? nanso ?nka h? da,Positive
aboa a onni dua no onyame na ?pra ne ho,Positive
nne woy ade w twi yi mumeb wabaso,Positive
mekyer? ade? w? suap?n mu na  ?mom eny? twi na mekyer? �  saawoy twi w suapn mu anaa�,Positive
seesei ara de? mew? engyeresi krop?n london mu �  wow ghana hene fa haha�,Positive
medi wakyi di makyi bi waimedi wakyi odo,Positive
onyame na aseda s? no �  medaase �,Positive
aho?f? na ad?n na woredi awer?ho yi �  ?�,Positive
me tare wakyi s akyakya no    medi wakyi di makyi bi wai,Positive
mmo way? ade? �  s madi woakyi�,Positive
?kraman p? nti na ahoma s? ne mene,Positive
ay?nkofa dodo? nti na amma ?k?t? annya tire,Positive
abusua p? ade? kyiri ka,Positive
asem  ay?nkofa dodo? nti na amma ?k?t? annya tire,Positive
mpaninfo? kae a w?mmoa s? wok? aware? a bisa mu,Positive
may? ak?tekyiwa menni anim?nyam nti abusua de me ash? ab? ase,Positive
hmm me nso mate s? wanni makyi �  mate wae�,Positive
d  mama ne dada,Positive
?k?mfo b?ne a watena ?yarefo? ho ama ?k?mfo papa ab?to noo no y?ny? no basabasa ?bi a na ?nim wakyi ade? bi nti,Positive
woano hwam   mpaninfo? kae a w?mmoa s? wok? aware? a bisa mu,Positive
mi daaaassssi,Positive
medi wakyi di makyi bi waimidi wakyi wai,Positive
ade? a wodua no ?no ara na wob?twa,Positive
oh nkasa kraaa     medi wakyi di makyi bi wai,Positive
adn y nana prempeh   wiase nyinaa akoa wei paa na te twi gt,Positive
aho?f? ?de?n na wose wate ?firi s? wanni makyi �  yoo mati�,Positive
nkro d??so nti y?ntena faako ngye animguase,Positive
ade? a ?w? wo no ?y? de?n a ?b?ba wo h?,Positive
me nua wo y akan nie ampa,Positive
abuburokosua ade? a ?b?y? yie no ?nsei da,Positive
mepa wokyw maylol,Positive
?bra ash?ase ny? den na ne awiey?,Positive
s? wo yere nny? a ?nte s? wo nkoaa wo da enti s? nea ?te biara no fa no saa,Positive
mehunuu no saa �  woy badwema papaanka saa akoa no ps toto mmne hy wanom�,Positive
woy badwema papaanka saa akoa no ps toto mmne hy wanom,Positive
saa �  osut? de aw? na ?namna aw nso de nyinsn na ba�y a bisa wagya,Positive
saa na ?te? �  saa nso na de w no tumi de ne nsa benkum gye�,Positive
saa �  osut? de aw? na ?namna aw nso de nyinsn na ba�,Positive
saa nso na de w no tumi de ne nsa benkum gye,Positive
osut? de aw? na ?namna aw nso de nyinsn na ba,Positive
osut? de aw? na ?nam,Positive
hehe   osut? de aw? na ?nam,Positive
ak?m k? ama aka ntwahoo,Positive
ampa ara �  yhh ibi true�,Positive
ne? ade? w? no na ?die ?ny? ne? ?k?m de no,Positive
s? asamando w? amane ampa ?ne? wok? ?y? mane me,Positive
?h?ho? as?m y? mm?b?,Positive
ano y?deb? b?sia no ?no ara na y?detua,Positive
s? ab? bi ?reb?wu a na ?s?,Positive
?kraman nyaa y? a anka ?de ne ba b?di nsesa agye dompe na ?nso mehunuu y? anka ?no na ?maa keewuo sh?? ne ho ak?mfo,Positive
?b?t? da ?kraman b?soa nam ama agyinamoa ab? ho d?nkomi,Positive
saa na ?y? � � mframa de hoo rep? ade? a ?nya�herh charle i dey feel u wate u dey fit mke i laugh saa�,Positive
mframa de hoo rep? ade? a ?nya,Positive
� mframa de hoo rep? ade? a ?nya�herh charle i dey feel u wate u dey fit mke i laugh saa,Positive
?barima b?y?? bi na w�anb?y? ne nyinaa,Positive
?barima b?y?? bi na w�ab?y? ne nyinaa,Positive
wodi atedua na s? any? wo d? a na ?firi wo se,Positive
madi wakyi  medi wakyi di makyi bi wai,Positive
�  medi wakyi di makyi bi wai�ltlt lol mati,Positive
ap?nkye a ne ani ns? ade? no na ?y? dankwase hene aboboa ano,Positive
akok? nsa kye a ?ny? akr?ma f?,Positive
yoo meda wo ase � daabi woati y?ka no sei akok? sa kyer? akroma a ?ny?  more,Positive
yoo meda wo ase � daabi woati y?ka no sei akok? sa kyer? akroma a ?ny? no f?   akok? nsa kye a ?ny? akr?ma f?�,Positive
daabi woati y?ka no sei akok? sa kyer? akroma a ?ny? no f?   akok? nsa kye a ?ny? akr?ma f?,Positive
may wai  medi wakyi di makyi bi wai,Positive
saa yoooo    medi wakyi di makyi bi wai,Positive
ohk   medi wakyi di makyi bi wai,Positive
ap?nt?m ne anyant?m na ?nam ewiase abrab? a y?reb? yi amirikatuo mfa y?n nk?si hwee,Positive
hwee nni br?s?m mu ampa �   whee ne brofosem bi�,Neutral
medaase   ap?nt?m ne anyant?m na ?nam ewiase abrab? a y?reb? yi amirikatuo mfa y?n nk?si hwee,Positive
asm no na waka no  ap?nt?m ne anyant?m na ?nam ewiase abrab? a y?reb? yi amirikatuo mfa y?n nk?si hwee,Positive
whee ne brofosem bi,Positive
mo mma y?ngye yani na adaka mu y?she,Positive
ade? a ?d? ma y?gye ho,Positive
medi wanim   medi wakyi di makyi bi wai,Positive
abrante medi wakyi wai  nyboateng medi wakyi di makyi bi wai,Positive
yoo ma y   kobiafriyie medi wakyi di makyi bi wai,Positive
agya bi wu a agya bi te ase de? y?ka de daadaa awisia,Positive
wo maame wu a na wo abusua asa,Positive
megye wo so o  nana twi lecturer obenfo? merekyea wo oo,Positive
nana twi lecturer obenfo? merekyea wo oo,Positive
atetekwaa kyiri ?mama,Positive
mi foa so   wo maame wu a na wo abusua asa,Positive
ade? a wodua no ?no ara nso na wob?twa,Positive
?tanfo tes? aboateaa ne se nketenkete na nso ?ka wo a ?nni aduro,Positive
moho y papapanyame nadom  mew? nkwa mu yi de? meda awurade ase na wo e  purplepinqui cont,Positive
encorehahame tsi twi papatsen dn  ei na wote twi saa na na wode french na ereyi me twi cont,Positive
?reteta paa � ?na aponkyer?ne nso retata    wob?n nsuo ho a na wote s? ?k?t? reb? wa�,Positive
wob?n nsuo ho a na wote s? ?k?t? reb?  wa,Positive
dnemawiye wai,Positive
yoo midi wakyi   iluvmacurvez medi wakyi di makyi bi wai,Positive
yoo mati ?,Positive
y?da awurade ase � nyamet adom wofa mi sh ho,Positive
nyamet adom wofa mi sh ho,Positive
mete nkwa mu yi de? ne? onyame b?y? ama me biara y? na wo e � wofa eti sen wo ho y,Positive
wofa eti sen wo ho y,Positive
wonnii makyi o �   medi wakyi di makyi bi waidne �,Positive
aduane a mekyiri  menkyiri whee ad?n � aduane ben na wakyi   medi wakyi di makyi bi wai�,Positive
aduane ben na wakyi   medi wakyi di makyi bi wai,Positive
yess boss mi taa wakyi gidigidi kraa    medi wakyi di makyi bi wai,Positive
adn y achacha   de? ?retwa kwan nnim s? nakyi akyea,Positive
mmo ne y? aho?f? � yoo d mate wai,Positive
fa wakoma kto densu mu   makoma ?retw?n wo te s? ne? ?p? ?retw?n nsuo,Positive
medaase mewie ynk   medi wakyi di makyi bi wai,Positive
mate wai   makenzy medi wakyi di makyi bi wai,Positive
den na ad wokn,Positive
y?nk? di ?dien  di makyi wai �  ynk di  h�,Positive
gbam   ?wiase mu a y?w? yi wo ni wu a na wabusua asa,Positive
s? wokum as?mor?gwe na srade? nni mu a fa wanni hw? ak?kono anim,Positive
ynk di  h,Positive
baako nsie funu ne? wo y?nko da ne ne? woda,Positive
baako ak?hunu ?dansefo? w? hen,Positive
konkonte p? awia  ?na ?maa p? ne? ade? w?,Positive
lol medi wakyi bi   msaajay medi wakyi di makyi bi wai,Positive
hehe yoo mati   mmo way? ade? �adjoakakraba medi wakyi papa paa   cont  svxu,Positive
mmo way? ade? � medi wakyi papa paa   adjoakakraba medi wakyi di makyi bi wai�,Positive
medi wakyi papa paa   adjoakakraba medi wakyi di makyi bi wai,Positive
yoooo mati,Positive
wonnii makyi o �  haha�,Positive
mmo �  yoo na ?nso wonnii makyi �   medi wakyi di makyi bi waiyoo mati�jux did�,Positive
daabi kor toiret  � s? anomaa antu a obua da�,Positive
yoo na ?nso wonnii makyi �   medi wakyi di makyi bi waiyoo mati�jux did,Positive
yoo na ?nso wonnii makyi �   medi wakyi di makyi bi waiyoo mati�,Positive
medi wakyi di makyi bi waiyoo mati,Positive
medi wakyi di makyi bi wailol mati,Positive
may �  medi wakyi di makyi bi wai�,Positive
megye wo so o aho?f? �  hihi eish maakye ohhh�,Positive
medi wakyi gidigidi�  medi wakyi di makyi bi wai�,Positive
hahaha yoo mati,Positive
yoooo mati wai,Positive
s medi wakyi dada o aky kraa   medi wakyi di makyi bi wai,Positive
medi wakyi di makyi bi wai�me pa wo kyew yooo,Positive
medi wakyi lol   nayorm medi wakyi di makyi bi wai,Positive
yoo medi wakyi   medi wakyi du makyi bi wai,Positive
medi wakyi di makyi bi wailoolma te,Positive
di makyi ?d? �  mi da wasemi d�,Positive
yoo aho?f? �  mipa wo kyew ma ti�,Positive
saa wahunu �  aya na wato sbe wai p�,Positive
?patafo? di abaa,Positive
saa �  da biara na wo ka twi anaa�,Positive
da biara na wo ka twi anaa,Positive
mmo ne y? �  yoo mate me nso madi wakyi abusuaturodooo�,Positive
rendidi nso aa k ne   ampa s? ogyina h? na ?gyina h? nso a ?rendidi �   s,Positive
ampa s? ogyina h? na ?gyina h? nso a ?rendidi � woboa ogyina h     s? anomaa antu a obua da�,Positive
woboa ogyina h     s? anomaa antu a obua da,Positive
s? anomaa antu a obua da,Positive
as?m papa �  me foa wosowkasa yie�,Positive
me foa wosowkasa yie,Positive
nne? ade? w? no na ?die,Positive
may awiemdfskk   medi wakyi di makyi bi wai,Positive
ne? ?nim ako no ?nnim dwane,Positive
y?se nsuo a ?d? wo? no na ?k? wahina mu,Positive
mmo way? ade? �  me nso me di wakyi de muoodzen�,Positive
me nso me di wakyi de muoodzen,Positive
?ny? ne? akok? nhunuu bi da ne awommawuo,Positive
metaa wakyi � di makyi bi,Positive
mmo ne y? �  hahahahaha yekuromu medi wakyi dodo�,Positive
mmo way? ade? � yoo mate wai   obaapapapabi medi wakyi di makyi bi wai�,Positive
nny? hyer?nhyer?n nyinaa na ?y? sika,Positive
midaase  mmo way? ade? �neckyleaks misrw midi woekyi bi wai  neckyleaks maame medi wakyi di makyi bi wai�,Positive
mmo way? ade? � misrw midi woekyi bi wai  neckyleaks maame medi wakyi di makyi bi wai�,Positive
misrw midi woekyi bi wai  neckyleaks maame medi wakyi di makyi bi wai,Positive
mmo way? ade? � me nso me di wakyi   kwekuasiedu medi wakyi di makyi bi wai�,Positive
me nso me di wakyi   kwekuasiedu medi wakyi di makyi bi wai,Positive
mati    medi wakyi di makyi bi wai,Positive
di makyi na menka ngu waso mu dm memp? s? m?da no adi �  oh wo din ankasa ankasa din a y de woo wo�,Positive
obeng me w?faase �  na yfr wo sn�,Positive
mmo way? ade? �  yoo mati lolzz�,Positive
mmo way? ade? � medi wakyi   juniorbp medi wakyi di makyi bi wai�,Positive
medi wakyi   juniorbp medi wakyi di makyi bi wai,Positive
sika y? mogya ?na anibr? nso ?nso gya,Positive
cc    yoo � nye me se gbe ma o    medi wakyi di makyi bi wai,Positive
yooo mate wai  medi wakyi di makyi bi wai,Positive
s? anigyie s? k?t? ma ?d? da so a asomdwoe na ?bob?,Positive
hahah may wai,Positive
mate wai,Positive
mmo way? ade? �  me di wakyi�,Positive
me di wakyi,Positive
medaase   mmo way? ade? � mepa wotchew mensu medi wakyi    medi wakyi di makyi bi wai�,Positive
mmo way? ade? � mepa wotchew mensu medi wakyi    medi wakyi di makyi bi wai�,Positive
mmo way? ade? �  ok magi wai midi wakyi nso�,Positive
ok magi wai midi wakyi nso,Positive
wo se sn,Positive
menya wo ay? y? mmusuo ewiase ?sono akok? ne kraa ?nna ?sono ?br?kuo nso de?,Positive
onyame na aseda s? no �  meda wasi wai�,Positive
ndase,Positive
?gyina asuogya a na ?repa aky?w ?twa asuo wie a ?se ?d?nky?m atik?p?,Positive
aboa k?k?s?kyi se s? onipa nim nawiey? a anka ?nam a na ne nsa gu ne tiri so,Positive
yoo mate wai �   meda wo ase s? wob?? mano as?m dawuro kyer?? wakyidifuo?,Positive
yoo mate wai �   meda wo ase s? wob?? mano as?m dawuro kyer?? wakyidifuo?   u akwaaba wai�,Positive
meda woase s? wodii makyiase da wo nyame ho,Positive
meda wo ase s? wob?? mano as?m dawuro kyer?? wakyidifuo?,Positive
meda wo ase s? wob?? mano as?m dawuro kyer?? wakyidifuo?   u akwaaba wai,Positive
yoo medaase mebo at? me y?m � me sha ha wfamafe wo o   ei na nti me w?fase  w? hen�,Positive
me sha ha wfamafe wo o   ei na nti me w?fase  w? hen,Positive
s? wotu bata na s? nne?ma nk? yie a san wakyi mmpanimfu?? na ?kae s? sank?fa w?h? yi y?nkyiri,Positive
susubiribi � dwene ho yie ansa na way? ne? wob?y? biara,Positive
wop? do do,Positive
na wo by dn de sika at wo nkwa,Positive
yoo d mate wai,Positive
daakye as?m nti wosum br?de? a na wasum kwadu,Positive
meda wo ase me tumi kan fante nso �  waano atew ruffame mey mfantenyi�,Positive
waano atew ruffame mey mfantenyi,Positive
mepachew mati    medi wakyi di makyi bi wai,Positive
mi so medi wakyi wai,Positive
yoo ma ti massa,Positive
medi wakyi deda,Positive
aware? te s? hy?n ?bi resi no na ?bi reforo,Positive
?ba nyansafo? y?bu no b? y?nka no as?m,Positive
enkasa brfo ba,Positive
woto wo bo ase a ?nkyer? s? wob?ka akyire,Positive
menso meda woase menua mani agye paa s? wo twer? twi kamakama saa ? � wiredu meda woase s? wodii makyi�,Positive
owh menso saa,Positive
aboa ap?nkye se ?reb? ka da koro ama wawu mpo a ?b?di hene ansa na wawu,Positive
meda wo ase s? wob?? mano as?m dawuro kyer?? wakyidifuo?   lt oh ny hwee,Positive
meda wasi wai,Positive
onipa a as?m da ne so? no nk? adwab?,Positive
wommu kaper? a wonnya damma,Positive
menkyer? wo wo suban,Positive
kristo de ne mogya yii y? nyinaa firii y? b?ne mu nanso ?mp? hwee firi y? h? s? y?b?dod? y? cont  srex,Positive
� k?nk?nsani ho y?hu sene aboa ?w?�,Positive
� adwuma b?y? yie a ?nnim sika ketewa�,Positive
y? b?ne nyinaa akyi yi  nyame b?gye y?n awaawaatoo s? y? sakra a enti y? nsakra na y? nsom no nn? kwasie yi,Positive
y?nhunuu dan ho a y?ns? k?t?,Positive
dan � obaa anaas dan  y?nhunuu dan ho a y?ns? k?t?�,Positive
ampa   afutuo nsakra nipa kyer? ns?hw?,Positive
ansa na k?k?sakyi b?huri akyeakyea ne ho no na ?firi damfoadu,Positive
� anim ny? nyam a ?nte s? nammon mu�,Positive
k?t?pr? na ?ma ?k?t? ho y? hu,Positive
pamo no oo  tware no oo ne nyinaa ne makye no,Positive
y? da nyame ase � ewiem b?k?? na wo ? �thenimaboy  ?te s?n��,Positive
onipa b?wu na sika te ase,Positive
baabi a anidaso? nni no ?h? na mmoa firi,Positive
wei di mawu oo??????,Positive
wei de? metiiyi � � obi nkyer? akwaaba nyame� akwaada�,Positive
aniwa nnim awer?ho,Positive
?nokwafo? ho y? ahi,Positive
nipa reko w? abrab? yi mu,Positive
ya annua ?dehye? � opanyin obeng me ma wo aha,Positive
due nkum kuro,Positive
ab?dwes? b?too annint?nnwi,Positive
abor?noma te fie nso ?nte kasa wama ako firi wiram ab?te kasa agya no,Positive
?p?nk? agyimi a ny? namirikatuo ho,Positive
hmm �  wonwuue? a wonnim nea wob?nya�,Positive
s? de? nsuo y?? nkyene no saa ara na awia b?y? nkuto,Positive
y?nnom aduro mma ?yarefo?,Positive
?branee y?mm? no b?d?,Positive
saaa wo firi sikafu fie   efie akok? y?fa no kwa,Positive
paapa mepa wo kyew ase kyer sn   merenya wo ay? y? mmusuo,Positive
nanka biribi kye madwen so nanka me p se wo boa me kakra,Positive
prae?tia nni h? a apot?bibire gye fie fa,Positive
obi nkyer? akwaaba nyame,Positive
