tweets,labels
mekyer? ade? w? suap?n mu na  ?mom eny? twi na mekyer? “  saawoy twi w suapn mu anaa”,Positive
seesei ara de? mew? engyeresi krop?n london mu “  wow ghana hene fa haha”,Positive
medi wakyi di makyi bi waimedi wakyi odo,Positive
onyame na aseda s? no “  medaase ”,Positive
aho?f? na ad?n na woredi awer?ho yi “  ?”,Positive
me tare wakyi s akyakya no    medi wakyi di makyi bi wai,Positive
mmo way? ade? “  s madi woakyi”,Positive
?kraman p? nti na ahoma s? ne mene,Positive
ay?nkofa dodo? nti na amma ?k?t? annya tire,Positive
abusua p? ade? kyiri ka,Positive
asem  ay?nkofa dodo? nti na amma ?k?t? annya tire,Positive
mpaninfo? kae a w?mmoa s? wok? aware? a bisa mu,Positive
may? ak?tekyiwa menni anim?nyam nti abusua de me ash? ab? ase,Positive
hmm me nso mate s? wanni makyi “  mate wae”,Positive
d  mama ne dada,Positive
?k?mfo b?ne a watena ?yarefo? ho ama ?k?mfo papa ab?to noo no y?ny? no basabasa ?bi a na ?nim wakyi ade? bi nti,Positive
woano hwam   mpaninfo? kae a w?mmoa s? wok? aware? a bisa mu,Positive
mi daaaassssi,Positive
medi wakyi di makyi bi waimidi wakyi wai,Positive
ade? a wodua no ?no ara na wob?twa,Positive
oh nkasa kraaa     medi wakyi di makyi bi wai,Positive
adn y nana prempeh   wiase nyinaa akoa wei paa na te twi gt,Positive
aho?f? ?de?n na wose wate ?firi s? wanni makyi “  yoo mati”,Positive
nkro d??so nti y?ntena faako ngye animguase,Positive
ade? a ?w? wo no ?y? de?n a ?b?ba wo h?,Positive
me nua wo y akan nie ampa,Positive
abuburokosua ade? a ?b?y? yie no ?nsei da,Positive
mepa wokyw maylol,Positive
?bra ash?ase ny? den na ne awiey?,Positive
s? wo yere nny? a ?nte s? wo nkoaa wo da enti s? nea ?te biara no fa no saa,Positive
mehunuu no saa “  woy badwema papaanka saa akoa no ps toto mmne hy wanom”,Positive
woy badwema papaanka saa akoa no ps toto mmne hy wanom,Positive
saa “  osut? de aw? na ?namna aw nso de nyinsn na ba”y a bisa wagya,Positive
saa na ?te? “  saa nso na de w no tumi de ne nsa benkum gye”,Positive
saa “  osut? de aw? na ?namna aw nso de nyinsn na ba”,Positive
saa nso na de w no tumi de ne nsa benkum gye,Positive
osut? de aw? na ?namna aw nso de nyinsn na ba,Positive
osut? de aw? na ?nam,Positive
hehe   osut? de aw? na ?nam,Positive
ak?m k? ama aka ntwahoo,Positive
ampa ara “  yhh ibi true”,Positive
ne? ade? w? no na ?die ?ny? ne? ?k?m de no,Positive
s? asamando w? amane ampa ?ne? wok? ?y? mane me,Positive
?h?ho? as?m y? mm?b?,Positive
ano y?deb? b?sia no ?no ara na y?detua,Positive
s? ab? bi ?reb?wu a na ?s?,Positive
?kraman nyaa y? a anka ?de ne ba b?di nsesa agye dompe na ?nso mehunuu y? anka ?no na ?maa keewuo sh?? ne ho ak?mfo,Positive
?b?t? da ?kraman b?soa nam ama agyinamoa ab? ho d?nkomi,Positive
saa na ?y? “ “ mframa de hoo rep? ade? a ?nya”herh charle i dey feel u wate u dey fit mke i laugh saa”,Positive
mframa de hoo rep? ade? a ?nya,Positive
“ mframa de hoo rep? ade? a ?nya”herh charle i dey feel u wate u dey fit mke i laugh saa,Positive
?barima b?y?? bi na w’anb?y? ne nyinaa,Positive
?barima b?y?? bi na w’ab?y? ne nyinaa,Positive
wodi atedua na s? any? wo d? a na ?firi wo se,Positive
madi wakyi  medi wakyi di makyi bi wai,Positive
“  medi wakyi di makyi bi wai”ltlt lol mati,Positive
ap?nkye a ne ani ns? ade? no na ?y? dankwase hene aboboa ano,Positive
akok? nsa kye a ?ny? akr?ma f?,Positive
yoo meda wo ase “ daabi woati y?ka no sei akok? sa kyer? akroma a ?ny?  more,Positive
yoo meda wo ase “ daabi woati y?ka no sei akok? sa kyer? akroma a ?ny? no f?   akok? nsa kye a ?ny? akr?ma f?”,Positive
daabi woati y?ka no sei akok? sa kyer? akroma a ?ny? no f?   akok? nsa kye a ?ny? akr?ma f?,Positive
may wai  medi wakyi di makyi bi wai,Positive
saa yoooo    medi wakyi di makyi bi wai,Positive
ohk   medi wakyi di makyi bi wai,Positive
ap?nt?m ne anyant?m na ?nam ewiase abrab? a y?reb? yi amirikatuo mfa y?n nk?si hwee,Positive
hwee nni br?s?m mu ampa “   whee ne brofosem bi”,Neutral
medaase   ap?nt?m ne anyant?m na ?nam ewiase abrab? a y?reb? yi amirikatuo mfa y?n nk?si hwee,Positive
asm no na waka no  ap?nt?m ne anyant?m na ?nam ewiase abrab? a y?reb? yi amirikatuo mfa y?n nk?si hwee,Positive
whee ne brofosem bi,Positive
mo mma y?ngye yani na adaka mu y?she,Positive
ade? a ?d? ma y?gye ho,Positive
medi wanim   medi wakyi di makyi bi wai,Positive
abrante medi wakyi wai  nyboateng medi wakyi di makyi bi wai,Positive
yoo ma y   kobiafriyie medi wakyi di makyi bi wai,Positive
agya bi wu a agya bi te ase de? y?ka de daadaa awisia,Positive
wo maame wu a na wo abusua asa,Positive
megye wo so o  nana twi lecturer obenfo? merekyea wo oo,Positive
nana twi lecturer obenfo? merekyea wo oo,Positive
atetekwaa kyiri ?mama,Positive
mi foa so   wo maame wu a na wo abusua asa,Positive
ade? a wodua no ?no ara nso na wob?twa,Positive
?tanfo tes? aboateaa ne se nketenkete na nso ?ka wo a ?nni aduro,Positive
moho y papapanyame nadom  mew? nkwa mu yi de? meda awurade ase na wo e  purplepinqui cont,Positive
encorehahame tsi twi papatsen dn  ei na wote twi saa na na wode french na ereyi me twi cont,Positive
?reteta paa “ ?na aponkyer?ne nso retata    wob?n nsuo ho a na wote s? ?k?t? reb? wa”,Positive
wob?n nsuo ho a na wote s? ?k?t? reb?  wa,Positive
dnemawiye wai,Positive
yoo midi wakyi   iluvmacurvez medi wakyi di makyi bi wai,Positive
yoo mati ?,Positive
y?da awurade ase “ nyamet adom wofa mi sh ho,Positive
nyamet adom wofa mi sh ho,Positive
mete nkwa mu yi de? ne? onyame b?y? ama me biara y? na wo e “ wofa eti sen wo ho y,Positive
wofa eti sen wo ho y,Positive
wonnii makyi o “   medi wakyi di makyi bi waidne ”,Positive
aduane a mekyiri  menkyiri whee ad?n “ aduane ben na wakyi   medi wakyi di makyi bi wai”,Positive
aduane ben na wakyi   medi wakyi di makyi bi wai,Positive
yess boss mi taa wakyi gidigidi kraa    medi wakyi di makyi bi wai,Positive
adn y achacha   de? ?retwa kwan nnim s? nakyi akyea,Positive
mmo ne y? aho?f? “ yoo d mate wai,Positive
fa wakoma kto densu mu   makoma ?retw?n wo te s? ne? ?p? ?retw?n nsuo,Positive
medaase mewie ynk   medi wakyi di makyi bi wai,Positive
mate wai   makenzy medi wakyi di makyi bi wai,Positive
den na ad wokn,Positive
y?nk? di ?dien  di makyi wai “  ynk di  h”,Positive
gbam   ?wiase mu a y?w? yi wo ni wu a na wabusua asa,Positive
s? wokum as?mor?gwe na srade? nni mu a fa wanni hw? ak?kono anim,Positive
ynk di  h,Positive
baako nsie funu ne? wo y?nko da ne ne? woda,Positive
baako ak?hunu ?dansefo? w? hen,Positive
konkonte p? awia  ?na ?maa p? ne? ade? w?,Positive
lol medi wakyi bi   msaajay medi wakyi di makyi bi wai,Positive
hehe yoo mati   mmo way? ade? “adjoakakraba medi wakyi papa paa   cont  svxu,Positive
mmo way? ade? “ medi wakyi papa paa   adjoakakraba medi wakyi di makyi bi wai”,Positive
medi wakyi papa paa   adjoakakraba medi wakyi di makyi bi wai,Positive
yoooo mati,Positive
wonnii makyi o “  haha”,Positive
mmo “  yoo na ?nso wonnii makyi “   medi wakyi di makyi bi waiyoo mati”jux did”,Positive
daabi kor toiret  “ s? anomaa antu a obua da”,Positive
yoo na ?nso wonnii makyi “   medi wakyi di makyi bi waiyoo mati”jux did,Positive
yoo na ?nso wonnii makyi “   medi wakyi di makyi bi waiyoo mati”,Positive
medi wakyi di makyi bi waiyoo mati,Positive
medi wakyi di makyi bi wailol mati,Positive
may “  medi wakyi di makyi bi wai”,Positive
megye wo so o aho?f? “  hihi eish maakye ohhh”,Positive
medi wakyi gidigidi“  medi wakyi di makyi bi wai”,Positive
hahaha yoo mati,Positive
yoooo mati wai,Positive
s medi wakyi dada o aky kraa   medi wakyi di makyi bi wai,Positive
medi wakyi di makyi bi wai«me pa wo kyew yooo,Positive
medi wakyi lol   nayorm medi wakyi di makyi bi wai,Positive
yoo medi wakyi   medi wakyi du makyi bi wai,Positive
medi wakyi di makyi bi wailoolma te,Positive
di makyi ?d? “  mi da wasemi d”,Positive
yoo aho?f? “  mipa wo kyew ma ti”,Positive
saa wahunu “  aya na wato sbe wai p”,Positive
?patafo? di abaa,Positive
saa “  da biara na wo ka twi anaa”,Positive
da biara na wo ka twi anaa,Positive
mmo ne y? “  yoo mate me nso madi wakyi abusuaturodooo”,Positive
rendidi nso aa k ne   ampa s? ogyina h? na ?gyina h? nso a ?rendidi “   s,Positive
ampa s? ogyina h? na ?gyina h? nso a ?rendidi “ woboa ogyina h     s? anomaa antu a obua da”,Positive
woboa ogyina h     s? anomaa antu a obua da,Positive
s? anomaa antu a obua da,Positive
as?m papa “  me foa wosowkasa yie”,Positive
me foa wosowkasa yie,Positive
nne? ade? w? no na ?die,Positive
may awiemdfskk   medi wakyi di makyi bi wai,Positive
ne? ?nim ako no ?nnim dwane,Positive
y?se nsuo a ?d? wo? no na ?k? wahina mu,Positive
mmo way? ade? “  me nso me di wakyi de muoodzen”,Positive
me nso me di wakyi de muoodzen,Positive
?ny? ne? akok? nhunuu bi da ne awommawuo,Positive
metaa wakyi “ di makyi bi,Positive
mmo ne y? “  hahahahaha yekuromu medi wakyi dodo”,Positive
mmo way? ade? “ yoo mate wai   obaapapapabi medi wakyi di makyi bi wai”,Positive
nny? hyer?nhyer?n nyinaa na ?y? sika,Positive
midaase  mmo way? ade? “neckyleaks misrw midi woekyi bi wai  neckyleaks maame medi wakyi di makyi bi wai”,Positive
mmo way? ade? “ misrw midi woekyi bi wai  neckyleaks maame medi wakyi di makyi bi wai”,Positive
misrw midi woekyi bi wai  neckyleaks maame medi wakyi di makyi bi wai,Positive
mmo way? ade? “ me nso me di wakyi   kwekuasiedu medi wakyi di makyi bi wai”,Positive
me nso me di wakyi   kwekuasiedu medi wakyi di makyi bi wai,Positive
mati    medi wakyi di makyi bi wai,Positive
di makyi na menka ngu waso mu dm memp? s? m?da no adi “  oh wo din ankasa ankasa din a y de woo wo”,Positive
obeng me w?faase “  na yfr wo sn”,Positive
mmo way? ade? “  yoo mati lolzz”,Positive
mmo way? ade? “ medi wakyi   juniorbp medi wakyi di makyi bi wai”,Positive
medi wakyi   juniorbp medi wakyi di makyi bi wai,Positive
sika y? mogya ?na anibr? nso ?nso gya,Positive
cc    yoo “ nye me se gbe ma o    medi wakyi di makyi bi wai,Positive
yooo mate wai  medi wakyi di makyi bi wai,Positive
s? anigyie s? k?t? ma ?d? da so a asomdwoe na ?bob?,Positive
hahah may wai,Positive
mate wai,Positive
mmo way? ade? “  me di wakyi”,Positive
me di wakyi,Positive
medaase   mmo way? ade? “ mepa wotchew mensu medi wakyi    medi wakyi di makyi bi wai”,Positive
mmo way? ade? “ mepa wotchew mensu medi wakyi    medi wakyi di makyi bi wai”,Positive
mmo way? ade? “  ok magi wai midi wakyi nso”,Positive
ok magi wai midi wakyi nso,Positive
wo se sn,Positive
menya wo ay? y? mmusuo ewiase ?sono akok? ne kraa ?nna ?sono ?br?kuo nso de?,Positive
onyame na aseda s? no “  meda wasi wai”,Positive
ndase,Positive
?gyina asuogya a na ?repa aky?w ?twa asuo wie a ?se ?d?nky?m atik?p?,Positive
aboa k?k?s?kyi se s? onipa nim nawiey? a anka ?nam a na ne nsa gu ne tiri so,Positive
yoo mate wai “   meda wo ase s? wob?? mano as?m dawuro kyer?? wakyidifuo?,Positive
yoo mate wai “   meda wo ase s? wob?? mano as?m dawuro kyer?? wakyidifuo?   u akwaaba wai”,Positive
meda woase s? wodii makyiase da wo nyame ho,Positive
meda wo ase s? wob?? mano as?m dawuro kyer?? wakyidifuo?,Positive
meda wo ase s? wob?? mano as?m dawuro kyer?? wakyidifuo?   u akwaaba wai,Positive
yoo medaase mebo at? me y?m “ me sha ha wfamafe wo o   ei na nti me w?fase  w? hen”,Positive
me sha ha wfamafe wo o   ei na nti me w?fase  w? hen,Positive
s? wotu bata na s? nne?ma nk? yie a san wakyi mmpanimfu?? na ?kae s? sank?fa w?h? yi y?nkyiri,Positive
susubiribi — dwene ho yie ansa na way? ne? wob?y? biara,Positive
wop? do do,Positive
na wo by dn de sika at wo nkwa,Positive
yoo d mate wai,Positive
daakye as?m nti wosum br?de? a na wasum kwadu,Positive
meda wo ase me tumi kan fante nso “  waano atew ruffame mey mfantenyi”,Positive
waano atew ruffame mey mfantenyi,Positive
mepachew mati    medi wakyi di makyi bi wai,Positive
mi so medi wakyi wai,Positive
yoo ma ti massa,Positive
medi wakyi deda,Positive
aware? te s? hy?n ?bi resi no na ?bi reforo,Positive
?ba nyansafo? y?bu no b? y?nka no as?m,Positive
enkasa brfo ba,Positive
woto wo bo ase a ?nkyer? s? wob?ka akyire,Positive
menso meda woase menua mani agye paa s? wo twer? twi kamakama saa ? “ wiredu meda woase s? wodii makyi”,Positive
owh menso saa,Positive
aboa ap?nkye se ?reb? ka da koro ama wawu mpo a ?b?di hene ansa na wawu,Positive
meda wo ase s? wob?? mano as?m dawuro kyer?? wakyidifuo?   lt oh ny hwee,Positive
meda wasi wai,Positive
onipa a as?m da ne so? no nk? adwab?,Positive
wommu kaper? a wonnya damma,Positive
menkyer? wo wo suban,Positive
kristo de ne mogya yii y? nyinaa firii y? b?ne mu nanso ?mp? hwee firi y? h? s? y?b?dod? y? cont  srex,Positive
“ k?nk?nsani ho y?hu sene aboa ?w?”,Positive
“ adwuma b?y? yie a ?nnim sika ketewa”,Positive
y? b?ne nyinaa akyi yi  nyame b?gye y?n awaawaatoo s? y? sakra a enti y? nsakra na y? nsom no nn? kwasie yi,Positive
y?nhunuu dan ho a y?ns? k?t?,Positive
dan “ obaa anaas dan  y?nhunuu dan ho a y?ns? k?t?”,Positive
ampa   afutuo nsakra nipa kyer? ns?hw?,Positive
ansa na k?k?sakyi b?huri akyeakyea ne ho no na ?firi damfoadu,Positive
“ anim ny? nyam a ?nte s? nammon mu”,Positive
k?t?pr? na ?ma ?k?t? ho y? hu,Positive
pamo no oo  tware no oo ne nyinaa ne makye no,Positive
y? da nyame ase “ ewiem b?k?? na wo ? “thenimaboy  ?te s?n””,Positive
onipa b?wu na sika te ase,Positive
baabi a anidaso? nni no ?h? na mmoa firi,Positive
wei di mawu oo??????,Positive
wei de? metiiyi “ “ obi nkyer? akwaaba nyame” akwaada”,Positive
aniwa nnim awer?ho,Positive
?nokwafo? ho y? ahi,Positive
nipa reko w? abrab? yi mu,Positive
ya annua ?dehye? “ opanyin obeng me ma wo aha,Positive
due nkum kuro,Positive
ab?dwes? b?too annint?nnwi,Positive
abor?noma te fie nso ?nte kasa wama ako firi wiram ab?te kasa agya no,Positive
?p?nk? agyimi a ny? namirikatuo ho,Positive
hmm “  wonwuue? a wonnim nea wob?nya”,Positive
s? de? nsuo y?? nkyene no saa ara na awia b?y? nkuto,Positive
y?nnom aduro mma ?yarefo?,Positive
?branee y?mm? no b?d?,Positive
saaa wo firi sikafu fie   efie akok? y?fa no kwa,Positive
paapa mepa wo kyew ase kyer sn   merenya wo ay? y? mmusuo,Positive
nanka biribi kye madwen so nanka me p se wo boa me kakra,Positive
prae?tia nni h? a apot?bibire gye fie fa,Positive
obi nkyer? akwaaba nyame,Positive
yka no yrewe duawa   s? y?ka s? y?rewe dua na ?n nso?       sxdawnt,Positive
aponkyer?ni se s? y?reka ?to? ho as?m a  ?renka bi,Positive
woduru nsuo ho a “ wo pin kyn nsuo ho a  wob?n nsuo ho a na wote s? ?k?t? reb? wa”,Positive
?baa se s? ?b?hy? tr?sa a momma ?nhy? na ?b?to ne dwons?,Positive
wano ate ogya a ?b?d?re no ne wisie nko,Positive
ahwene? te w? mpa no mu a ?bi nyera  spn,Positive
wo tiri so a ?ny? nne?ma nyinaa na wosoa,Positive
adwene b?wu de ne tiri atwere bo?,Positive
biribi ans?e a biribi ny? yi,Positive
wonim yesu a wonsuro hwee ?no nkoaa na ?y? kwankyer?fo pa enti momma y?nsom no ?n? kwasie yi,Positive
woy sureny ghana mmom  onipa ho hia sene sika,Positive
y ampa   ?baa na ?wo ?barima,Positive
wohy? ba b?ne a y?ku no kyer? wo,Positive
afe hyia pa,Positive
???????? “ menimmenim biara nnim hwee”,Positive
aboateaa se nkete nkete nso ?ka wo a ?nni aduro,Positive
ak?ses?m na ?de ohia na,Positive
ka bio  wonhunu biribi a na wose biribi nni h?,Positive
wohunu akyekyede? a wose wada nanso ebia na ?reb? mpae?,Positive
wani nnye wo kurom a na ?firi dan a wonnie ntira,Positive
?y? anite? nny? kr?noo “  abirekyie nni afuo nanso ?didi daakrnoonkoaaa”,Positive
?k?m de ?seb? a ?mf?re aboa biara,Positive
ohia na ?ma ?kanni y? aboa,Positive
asaase nkyiri funu,Positive
yoo ne wo ne nyame ntena,Positive
wonnim ade? mmiensa a hw? bokyea,Positive
kyer? me wo y?nko na menkyer? wo wo suban,Positive
yoo mate “  bh koro kaho”,Positive
matwer? ephraim amu bonwere kentenwene no mu nnwons?m w? me tumblr bl?go so  swmofi,Positive
mete nkwa mu yi de? mede aseda ma ?domankoma nyankop?n na wo ? “  ampa  tesn”,Positive
?na y?ntwer? kr?mo na ?mom kramo “  o saaa min nim da okay ”,Positive
wop? s? woka s? soantie y? mmusuo anaa “  s wo antie y musuo”,Positive
nokr  ?k?t? nwo anoma,Positive
obi ntwa poma mma no ?nsene no tenten,Positive
woto s?be ka as?m bi a y?nkyiri,Positive
etuo mu y? sum,Positive
enyeresi din baboon  aboa bn ne kontromfi  kontromfi ntoma atete a nakyea de? ?w? h? daa,Positive
fifire mu w? sade?,Positive
kyer? me wo y?nko na,Positive
?kafo? na ?hw? an?pa bosuo,Positive
?kafo? didi,Positive
wo nsa akyi b?y? wo d? a ?nte s? wo nsa y?m,Positive
obi nnim adekye? mu ns?m,Positive
?ny? odwan y?nko ne prako,Positive
abub? ne ateb? te a akyinye mpa fie da,Positive
bronya aso yawo yesu enti nyame de y?n b?ne aky? y?n momma y?nnod? y? ho ?firi s? onyame d? y?n mema mo nyinaa afehyia pa,Positive
akyekyede? anaa ?k?t? rewea ne ba rewea hwan na ?b?gye ne y?nko taataa,Positive
kkte borfo y den,Positive
daabi da   y?nsane kokurobotie ho mm? p?,Positive
agor? a ?y? d? y?nko ase?,Positive
?bra y? b?na,Positive
bh koro kaho,Positive
aane oo,Neutral
oh adn “ suro mmaa”,Positive
nsa k? na nsa aba,Positive
onipa wu a na wohu nad?fo?,Positive
mpaninfo? se aware pa ho y? na,Positive
wow? nkwa a na wow? ade? nyinaa,Positive
nyansa b?n mu ne mate masie,Positive
aane ?y? asere s?m,Positive
ne? ?w? s? wobisa no y? br?fo ?benfo?    wats d english name for pr?k?s? sorowisafomwisaamp twintia pleasetellme,Positive
eyepa medase,Positive
s? anigye? s? k?t? ma ?d? da so a asomdwoe? na ?bob?,Positive
y?se ?hwene nya a na anii anya,Positive
yaa ?buru aho?f? ?te s?n  wfa maakye    ei me w?faase yi wo wer? afiri me w?fa maakye mpo b? me,Positive
nti wo maame ne wo papa y nkate mebowa  aware? te s? nkate? wopae mu a na wohunu mu,Positive
saa ppp meda woase   wop? s? woka s? soantie y? mmusuo anaa “  s wo antie y musuo”,Positive
ampa  y?de nam na ?yi nam,Positive
ka na menka de as?m nam,Positive
mehunui? anka nni aduro,Positive
anomaa ky?re dua so a ?gye bo?,Positive
onipa nsu kwa,Positive
?tanfo te s? ?w? ne se nketenkete nanso ?ka wo a ?nni aduro,Positive
?b?damfo? wo ba a ?wo no ma amansan,Positive
ahina a y?de k? nsuo no b? a na as?e na nsuo no hwie gu de? a ?ny? hwee,Positive
medi wakyi,Positive
?ka baae? a ?baae? dada,Positive
please tune in to live fm  at am first time airplay of rideordie by,Positive
awer?kyekyer? firi onipa ho,Positive
agya bi awu a agya bi te ase,Positive
aware? te s? nkate? wopae mu a na wohunu mu,Positive
papaapa,Positive
?kwantufo?  a ?taa so? faako ho y? mfonoe? ?ma w?bu no animtia,Positive
worep? ?kra kurom ak? a wofr? no agya kra,Positive
nk?daa p? nam nso w?suro nantwie,Positive
as?m mp? nnipa onipa na ?p? as?m,Positive
lmao   nnipa baanu gyimi a efie b?cc,Positive
wohunu aberewa a wose ?nii awiak?te? da s?be o ?ny? me a mpaninfo?  na buu saa b? yi,Positive
ano a y?dek?b? bosia no ?ny? ?no ara na y?de tua,Positive
de? ?di wakyi so sene wo a ?b?y? d?n na ?nsumsum wo?,Positive
akua ababirekyie na ?kaa nas?m s? ahennie ?y? d? nti ?ny? de?n a ?b?di hene ansa na wawu,Positive
yesu adom ne ne mogya a ?de b?? af?de? maa y?n nti y?anya nkwa ?no nti y?nsom no ?n? kwasie yi,Positive
aboa a ?seb? antumi ankye no anwe no ?kra mfa no fo,Positive
“ onyame na onim ne? ?y? na ?y? ma ne mma”,Positive
dabi dabi anaa daakye bi “ mpaakyw daasboa kyr sn“ owuo t?n ade? a t? bi na daas?boa ?de…,Positive
wosisi kwaku ananse a wosisi wo ho,Positive
mati nana  ny? afei na mahunu na ?mom afei manya kwan ?retweete   dadaada afei na wahu cont,Positive
wote firii amakye dede h? “ amakye dede  adukuro mu nsuo ak?n?ak?n?”,Positive
woretwer? twi a wohia twi ns?mfua no ne nyinaa nie ???? “ bra na bgye wo dollar”nokware,Positive
yesu nkoaa ne hene ?no na ?b? tumi adi y? anim ama yeadi abonsam so nkonim ?no nti y?nsom no ?n? kwasie yi,Positive
de? ?retwa sa nnim s? nakyi akyeaampa,Positive
“ aboa a ?seb? antumi ankye no anwe no ?kra mfa no fo”,Positive
?ne?ma mu nk? yie koraa y?di fufuo,Positive
“ aberewa hwe ase a ?de hy? ne poma”,Positive
mmaa dodo? aware? mu nni biribi s? ohia,Positive
kuro mpo b? na ?nte s? fie,Positive
ma hy no nso medaase nso ne nkyere kyere mu nyame nhyira wo,Positive
nnanw?twe s? n?  ?p?nimma  na w?reto aba ayi aban fofor? w? ghana onyame adom mma no nk? so asomdwoe? mu s? de?,Positive
aboa bi reka wo a na ?firi wo ntoma mu,Positive
?tan d??so,Positive
wodi ka   nokwar? enti na y?ka as?m to s?be no   nanso s wona wo abu b yi,Positive
ak?daa pa na ?nya ade?,Positive
nyansa dodo? gyae aboa,Positive
aboa a ?nni dua nyame na ?pra ne ho,Positive
?baatan kasa agyinam na ?nkasa badwam,Positive
ampa ara “  naase wura ne tweaduampon a y ktwiamansan da amansan kn mu yn nom de yka ho ma no si pi kk”,Positive
wani te bebrebe a woma ap?nkye akye,Positive
ak?daa nnim gyata a ?bu no s? aboa bi,Positive
nnaase nni h?,Positive
?baatan mm? dua,Positive
panin w? fie ?na y? san w? ?hene,Positive
akok? y?ay?n no w? fie ?no ara ne s? y?atwa ne ti ay? nkwan “ saaa wo firi sikafu fie   efie akok? y?fa no kwa”,Positive
“ dodo? k? agyina a ?baako nni as?m ka”,Positive
wano aba a na wo nsa aba,Positive
y?nfa onyame nnase mma no ?n? kwasie yi s? wahw? y?nso ab?si nn?,Positive
yesu adom nti y? nyinaa ahyia mu w? afe fofor? mu ?n? y? ?pep?n  onyame nhyira makyidifo? nyinaa,Positive
s? kurotwiamansa kwadwo se wagyae ne nkwaseas?m di a na ?nse s? akua abirekyie mm?wo nafikyire na ?mfa ne ho mfa ne ba,Positive
wokyekyere a na wonsoae,Positive
?panin didi adidi b?ne a ?yi nayowa h?,Positive
wobu b? kyer? onyansafo? ?kyer? ase? te,Positive
t?kr?ma a y?de tutu ka no ny? ?no na y?de p? bosea,Positive
mtcheeww  nkromma te ase a badu nni ade?,Positive
manp?nten hiani nni biribi a ?w? kamafo? abak?s?m w? saa ?b? yi akyi kan no w? me tumble bl?g no mu  sorl…,Positive
bba  enti wiase ?mma awie?   wiase b twm twersm  asi a nka y? cont,Positive
bor?fer? se ?ny? me na ?k?m ba a m?hw? nkurofo? mma,Positive
?h?ho? ne kurobani ns?,Positive
wosos? ?ta so a na ?b?n s?be,Positive
?baa t? odwan a ?barima na ?y?n no,Positive
de? asuhina sie no y?ntoto abo?,Positive
“ bosom a ?ne wo b?tena no ?no na ?kyer? wo nakyiwade?”,Positive
wopam aboa na woannya no a wose ne ho b?n,Positive
“ ky? na ?b?ky? na ?nka h? da”,Positive
akua mpo woantumi no na kwaku,Positive
wosoa nsuo soa nsa a na wohunu de? ?mu y? duru o,Positive
uncle  mepawokyew daabi,Positive
ei saaa   mey? ?yker?kyer?fo? na ?ny? twi mu “ twi doctor   asuogya nko ne nasaase”,Positive
wontumi wak?mfohy? a wose ?n? y? dab?ne,Positive
k? so “ nanka biribi kye madwen so nanka me p se wo boa me kakra,Positive
funtumfunafu ne d?nky?mfunafu w?n afu bom nso w?redidi a na w?reko,Positive
"merenya wo ay? y? mmusuo
merenya wo ay? y? mmusuo
woakum ?berekuo akum akok?nyini adekye? b?fa wo ase
b h bio  mmer? bi reba woankae ansu a wob?kae na ay? adwendwene
mmer? bi reba woankae ansu a wob?kae na ay? adwendwene
faako a asotoo ak?duru no ?nsa nnuru h?
suro mmaa
na nyin ky   suro mmaa",Positive
eeeii wodier wo,Positive
nea ?p? s? ?b?di hene daakye no firi ase? sua som ansa adinkra mfonini no din nea ?p? s? ?b?di hene,Positive
mpaninfo? se ntasuo nkoara nnante,Positive
onyame adom nti y?te ase nn? y?nsom no ?n? kwasie yi,Positive
mmaa p? ?d? kyiri ?ka,Positive
mefri besease ?b?n pankr?no no “  obi mmu dua nnya so abawofri he”ksi n,Positive
efirii ewiem baae? w? b?y? afe mu,Positive
oyankopn nadom nti me ho yyda onyankopon ase daa,Positive
nyansa firi fie,Positive
“ aniha mu nni biribi s? ohia”,Positive
“ ?baa na ?wo ?barima”,Positive
liverpool sub gt  wosoa nsuo soa nsa a na wohunu de? ?mu y? duru o,Positive
saaa ppp   mmusuo ba fie a y?yi,Positive
onyame d? y?n enti y?nyi no ay? daa,Positive
dua kyea a na ?mmue?,Positive
as?ms?b?   aboa kusie nya fufuo a ?b?di na w?mma na ?renk? ne b?n mu,Positive
wo d?fo? ky? wo yere a na waky? wo akasakasa,Positive
de? ?repam wo mmer?e a ?b?y? d?n na woagye wo ahome,Positive
komtrofi se ?brane wu ne koko,Positive
y?gyina as?mpa akyi na ?ny? as?mm?ne,Positive
?dan ho pae a na ntate? ba mu,Positive
afis?m ny? ntoma na yasi ahata,Positive
nti afe ato y?n yi y?nna awurade ase mema makydifo? nyinaa afehyia pa afe ses?e na y…,Positive
y?nkum bi a y?mpam bi,Positive
huhuuhuhuu biara ny? hu,Positive
mereb? makyidifo? k?k? s? ?y? afefofor? da a ?di kan ?p?p?n  m?twer? ananses?m w? me tumblr bl?go so hwehw?  ?h? na kan,Positive
de? wante? no na wante de? ?tee? nso no wanhunu ase? kyer?,Positive
woma wakoma ha wo a woha wo ho,Positive
wob? bosea de tua wo ka a ?te s? woatu amena asi amena,Positive
hmmmm ?mom    papay? ?ntaa nnya akatua,Positive
wonwuue? a wonnim nea wob?nya,Positive
asuo a ?tae h? dinn na ?fa nnipa,Positive
ampa y?de daadaa awisia kwa “  agya bi awu a agya bi te aseyeka de daada ayiseaa” awisia m?br?,Positive
obi mm? obi bra mma no,Positive
ahwene? pa nkasa gye awuruwuro,Positive
k?nk?nsani ?y? a di wo fie as?m na gyae ?nkekankeka no,Positive
woakum ?berekuo akum akok?nyini adekye? b?fa wo ase,Positive
